#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Coa6	mt-Co3	10090.ENSMUSP00000058279	10090.ENSMUSP00000080997	0	0.376	0.360	0	0.583
Coa6	Cox7a1	10090.ENSMUSP00000058279	10090.ENSMUSP00000096193	0	0.365	0.360	0.072	0.589
Coa6	mt-Co1	10090.ENSMUSP00000058279	10090.ENSMUSP00000080993	0	0.376	0.360	0.074	0.597
Coa6	Cox7c	10090.ENSMUSP00000058279	10090.ENSMUSP00000115419	0	0.360	0.360	0.200	0.643
Coa6	mt-Co2	10090.ENSMUSP00000058279	10090.ENSMUSP00000080994	0	0.375	0.360	0.211	0.656
Cox4i2	Cox5a	10090.ENSMUSP00000105446	10090.ENSMUSP00000000090	0	0.426	0.720	0.410	0.896
Cox4i2	Uqcr11	10090.ENSMUSP00000105446	10090.ENSMUSP00000020372	0	0.329	0.720	0	0.804
Cox4i2	Uqcrb	10090.ENSMUSP00000105446	10090.ENSMUSP00000021993	0	0.392	0.720	0	0.822
Cox4i2	Cox8b	10090.ENSMUSP00000105446	10090.ENSMUSP00000026561	0	0.058	0.540	0	0.548
Cox4i2	Cox6a2	10090.ENSMUSP00000105446	10090.ENSMUSP00000033049	0	0.377	0.540	0.255	0.767
Cox4i2	Cox7b	10090.ENSMUSP00000105446	10090.ENSMUSP00000033582	0	0.207	0.720	0	0.768
Cox4i2	Cox7a2	10090.ENSMUSP00000105446	10090.ENSMUSP00000034881	0	0.241	0.720	0	0.778
Cox4i2	Cox8a	10090.ENSMUSP00000105446	10090.ENSMUSP00000040717	0	0.258	0.720	0.218	0.823
Cox4i2	Ndufa4l2	10090.ENSMUSP00000105446	10090.ENSMUSP00000042185	0	0	0.540	0	0.540
Cox4i2	Cox6a1	10090.ENSMUSP00000105446	10090.ENSMUSP00000047661	0	0.377	0.720	0.275	0.862
Cox4i2	Uqcrq	10090.ENSMUSP00000105446	10090.ENSMUSP00000053145	0	0.414	0.720	0.139	0.846
Cox4i2	Uqcr10	10090.ENSMUSP00000105446	10090.ENSMUSP00000054856	0	0.395	0.720	0	0.823
Cox4i2	Cox6b1	10090.ENSMUSP00000105446	10090.ENSMUSP00000075150	0	0.315	0.720	0.207	0.834
Cox4i2	mt-Co1	10090.ENSMUSP00000105446	10090.ENSMUSP00000080993	0	0.398	0.720	0.287	0.869
Cox4i2	mt-Co2	10090.ENSMUSP00000105446	10090.ENSMUSP00000080994	0	0.415	0.720	0.167	0.851
Cox4i2	mt-Co3	10090.ENSMUSP00000105446	10090.ENSMUSP00000080997	0	0.421	0.720	0	0.830
Cox4i2	mt-Cytb	10090.ENSMUSP00000105446	10090.ENSMUSP00000081003	0	0.244	0.720	0	0.779
Cox4i2	Uqcc3	10090.ENSMUSP00000105446	10090.ENSMUSP00000093972	0	0	0.720	0	0.720
Cox4i2	Cox7a1	10090.ENSMUSP00000105446	10090.ENSMUSP00000096193	0	0.409	0.360	0	0.605
